"booti","stat","value"
"40","mub",1.60049630774461
"40","sigb",5.9795010751751
"40","pubpar1",NA
"40","pubpar2",0.622777763399984
"40","loglike",-1.78159824795746
"41","pif",0.303586183034244
"41","pia",0.91832951508656
"41","mua",0.848069645877279
"41","siga",2.49048886261483
"41","mub",6.16725080176754
"41","sigb",4.21590010813683
"41","pubpar1",NA
"41","pubpar2",0.666666666666667
"41","loglike",-1.81270520428538
"42","pif",0.001
"42","pia",0.181700679575415
"42","mua",0.5
"42","siga",5.7073016031952
"42","mub",1
"42","sigb",2.22422670250198
"42","pubpar1",NA
"42","pubpar2",0.666666666666667
"42","loglike",-1.78775279958035
"43","pif",0.344817298817139
"43","pia",0.157212034858322
"43","mua",0.5
"43","siga",5.88437953510318
"43","mub",1
"43","sigb",2.37234826042042
"43","pubpar1",NA
"43","pubpar2",0.666666666666667
"43","loglike",-1.81313988311252
"44","pif",0.390813667096756
"44","pia",0.832337136296731
"44","mua",0.5
"44","siga",2.50238750227275
"44","mub",1
"44","sigb",5.69748393212964
"44","pubpar1",NA
"44","pubpar2",0.666666666666667
"44","loglike",-1.81322504692133
"45","pif",0.409825634926963
"45","pia",0.919058914993261
"45","mua",0.519388753542626
"45","siga",2.66965361665947
"45","mub",7.92769913854927
"45","sigb",5.04018074897449
"45","pubpar1",NA
"45","pubpar2",0.621146095604259
"45","loglike",-1.78598939608063
"46","pif",0.450980200254004
"46","pia",0.879652370706849
"46","mua",1.39554824021227
"46","siga",2.27490249227325
"46","mub",4.74933659103862
"46","sigb",4.57925798768685
"46","pubpar1",NA
"46","pubpar2",0.666666666666666
"46","loglike",-1.81300588089489
"47","pif",0.289449277822228
"47","pia",0.853256676787723
"47","mua",0.5
"47","siga",2.53447475931252
"47","mub",1.07582100921355
"47","sigb",5.89401085864292
"47","pubpar1",NA
"47","pubpar2",0.666097197596176
"47","loglike",-1.81324954030597
"48","pif",0.314369755342509
"48","pia",0.84267986706098
"48","mua",0.55012229083825
"48","siga",2.49514480636437
"48","mub",1.33534080493905
"48","sigb",5.68810061762834
"48","pubpar1",NA
"48","pubpar2",0.666666666666667
"48","loglike",-1.81313993597636
"49","pif",0.136731328659454
"49","pia",0.0586461423050658
"49","mua",4
"49","siga",5.66838108106248
"49","mub",1
"49","sigb",2.59672319429478
"49","pubpar1",NA
"49","pubpar2",0.666666666666667
"49","loglike",-1.79932519475841
"50","pif",0.358295774387809
"50","pia",0.851383199039089
"50","mua",0.759115505265532
"50","siga",2.41368862390839
"50","mub",3.44691224350652
"50","sigb",5.11842891022708
"50","pubpar1",NA
"50","pubpar2",0.666666666666667
"50","loglike",-1.81314915738202
"51","pif",0.246365078300119
"51","pia",0.854609315074499
"51","mua",0.5
"51","siga",2.50173232357685
"51","mub",1
"51","sigb",6.17873379362599
"51","pubpar1",NA
"51","pubpar2",0.666666666666667
"51","loglike",-1.81371054856229
"52","pif",0.423445967229888
"52","pia",0.911223566753221
"52","mua",0.508829248466289
"52","siga",2.69122648891985
"52","mub",5.17020695437092
"52","sigb",5.10405855265938
